,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
0,On motorways/freeways,Personal injury accidents,1684,2021,2021-10-01,Personal Injury
1,On motorways/freeways,Total,12501,2022,2022-12-01,Total
2,Inside built-up areas,Total,168802,2018,2018-06-01,Total
3,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,5192,2011,2011-12-01,Material Damage
4,Total,Total,207831,2015,2015-05-01,Total
5,On motorways/freeways,Other accidents involving intoxication,44,2014,2014-09-01,Intoxication
6,Total,Other accidents involving intoxication,1246,2017,2017-04-01,Intoxication
7,Inside built-up areas,Total,133939,2020,2020-11-01,Total
8,On motorways/freeways,Personal injury accidents,1456,2015,2015-01-01,Personal Injury
9,Outside built-up areas (excl. motorways/freeways),Total,39794,2019,2019-03-01,Total
10,Total,Total,210442,2012,2012-11-01,Total
11,Total,Other accidents involving intoxication,1348,2021,2021-07-01,Intoxication
12,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1504,2012,2012-05-01,Material Damage
13,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,163,2018,2018-01-01,Intoxication
14,Total,Total,211092,2023,2023-12-01,Total
15,Inside built-up areas,Other accidents involving intoxication,1020,2012,2012-02-01,Intoxication
16,Outside built-up areas (excl. motorways/freeways),Total,43415,2013,2013-10-01,Total
17,Inside built-up areas,Total,151195,2012,2012-06-01,Total
18,On motorways/freeways,Other accidents involving intoxication,49,2013,2013-03-01,Intoxication
19,Inside built-up areas,Personal injury accidents,21921,2019,2019-06-01,Personal Injury
20,Total,Serious acc. invol. mat.damage in the nearer sense,7200,2022,2022-12-01,Material Damage
21,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2226,2013,2013-01-01,Material Damage
22,Outside built-up areas (excl. motorways/freeways),Total,40815,2013,2013-03-01,Total
23,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,719,2015,2015-12-01,Material Damage
24,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,171,2022,2022-09-01,Intoxication
25,Total,Personal injury accidents,27740,2011,2011-07-01,Personal Injury
26,On motorways/freeways,Personal injury accidents,1480,2014,2014-11-01,Personal Injury
27,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6940,2019,2019-09-01,Personal Injury
28,On motorways/freeways,Total,14741,2014,2014-07-01,Total
29,Total,Other accidents involving intoxication,1411,2016,2016-12-01,Intoxication
30,Total,Total,197971,2020,2020-01-01,Total
