Year,Months,Location,Personal Injury Accidents,Serious Accidents (Material Damage),Other Accidents (Intoxication),Other Accidents (Material Damage),Total Accidents
2011,January,Inside built-up areas,10595.0,3893.0,970.0,114745.0,130203.0
2011,January,Outside built-up areas (excl. motorways/freeways),4995.0,2137.0,181.0,31161.0,38474.0
2011,January,On motorways/freeways,1250.0,1094.0,45.0,8985.0,11374.0
2011,January,Total,16840.0,7124.0,1196.0,154891.0,180051.0
2011,February,Inside built-up areas,11008.0,3548.0,889.0,105064.0,120509.0
2011,February,Outside built-up areas (excl. motorways/freeways),4405.0,1728.0,164.0,26721.0,33018.0
2011,February,On motorways/freeways,1166.0,925.0,37.0,7995.0,10123.0
2011,February,Total,16579.0,6201.0,1090.0,139780.0,163650.0
2011,March,Inside built-up areas,15402.0,3871.0,1000.0,120772.0,141045.0
2011,March,Outside built-up areas (excl. motorways/freeways),5353.0,1462.0,126.0,26923.0,33864.0
2011,March,On motorways/freeways,1314.0,651.0,45.0,9046.0,11056.0
2011,March,Total,22069.0,5984.0,1171.0,156741.0,185965.0
2011,April,Inside built-up areas,18853.0,6791.0,1460.0,27104.0,3701.0
2011,April,Outside built-up areas (excl. motorways/freeways),1409.0,707.0,5817.0,1110.0,135.0
2011,April,On motorways/freeways,53.0,1298.0,120344.0,30040.0,9845.0
2011,April,Total,160229.0,144008.0,38375.0,12065.0,194448.0
2011,May,Inside built-up areas,22913.0,7236.0,1586.0,31735.0,3894.0
2011,May,Outside built-up areas (excl. motorways/freeways),1549.0,758.0,6201.0,1154.0,141.0
2011,May,On motorways/freeways,56.0,1351.0,128768.0,33007.0,10747.0
2011,May,Total,172522.0,156729.0,41933.0,13147.0,211809.0
2011,June,Inside built-up areas,19974.0,7137.0,1688.0,28799.0,3806.0
2011,June,Outside built-up areas (excl. motorways/freeways),1604.0,1024.0,6434.0,1242.0,192.0
2011,June,On motorways/freeways,59.0,1493.0,119026.0,27642.0,10405.0
2011,June,Total,157073.0,144048.0,36575.0,13176.0,193799.0
2011,July,Inside built-up areas,19058.0,7014.0,1668.0,27740.0,3900.0
2011,July,Outside built-up areas (excl. motorways/freeways),1656.0,1139.0,6695.0,1245.0,163.0
2011,July,On motorways/freeways,59.0,1467.0,120585.0,29794.0,10885.0
2011,July,Total,161264.0,144788.0,38627.0,13751.0,197166.0
2011,August,Inside built-up areas,19584.0,7274.0,1725.0,28583.0,3713.0
2011,August,Outside built-up areas (excl. motorways/freeways),1532.0,1075.0,6320.0,1252.0,161.0
2011,August,On motorways/freeways,58.0,1471.0,119769.0,27814.0,10566.0
2011,August,Total,158149.0,144318.0,36781.0,13424.0,194523.0
2011,September,Inside built-up areas,21328.0,7451.0,1715.0,30494.0,3930.0
2011,September,Outside built-up areas (excl. motorways/freeways),1637.0,970.0,6537.0,1140.0,176.0
2011,September,On motorways/freeways,56.0,1372.0,126945.0,28074.0,10546.0
2011,September,Total,165565.0,153343.0,37338.0,13287.0,203968.0
2011,October,Inside built-up areas,19249.0,7282.0,1810.0,28341.0,4619.0
2011,October,Outside built-up areas (excl. motorways/freeways),1979.0,978.0,7576.0,1261.0,185.0
2011,October,On motorways/freeways,64.0,1510.0,133558.0,34717.0,11526.0
2011,October,Total,179801.0,158687.0,44163.0,14378.0,217228.0
2011,November,Inside built-up areas,16253.0,5974.0,1362.0,23589.0,4368.0
2011,November,Outside built-up areas (excl. motorways/freeways),1942.0,739.0,7049.0,1106.0,163.0
2011,November,On motorways/freeways,45.0,1314.0,127058.0,34881.0,9535.0
2011,November,Total,171474.0,148785.0,42960.0,11681.0,203426.0
2011,December,Inside built-up areas,16210.0,6637.0,1546.0,24393.0,5192.0
2011,December,Outside built-up areas (excl. motorways/freeways),2841.0,1516.0,9549.0,1258.0,207.0
2011,December,On motorways/freeways,63.0,1528.0,133942.0,35278.0,10734.0
2011,December,Total,179954.0,156602.0,44963.0,13859.0,215424.0
2012,January,Inside built-up areas,13894.0,4447.0,1021.0,118538.0,137900.0
2012,January,Outside built-up areas (excl. motorways/freeways),5664.0,2291.0,187.0,33051.0,41193.0
2012,January,On motorways/freeways,1382.0,1357.0,52.0,9480.0,12271.0
2012,January,Total,20940.0,8095.0,1260.0,161069.0,191364.0
2012,February,Inside built-up areas,11741.0,4453.0,1020.0,114963.0,132177.0
2012,February,Outside built-up areas (excl. motorways/freeways),5050.0,2217.0,155.0,31143.0,38565.0
2012,February,On motorways/freeways,1271.0,1096.0,50.0,8492.0,10909.0
2012,February,Total,18062.0,7766.0,1225.0,154598.0,181651.0
2012,March,Inside built-up areas,16587.0,3603.0,1009.0,124861.0,146060.0
2012,March,Outside built-up areas (excl. motorways/freeways),5568.0,1529.0,135.0,29041.0,36273.0
2012,March,On motorways/freeways,1404.0,607.0,63.0,8636.0,10710.0
2012,March,Total,23559.0,5739.0,1207.0,162538.0,193043.0
